,Time,episode id,is success,seed,method_combi
706,03-26-18-35,11,0,36,XAI attention_same SM
709,03-26-19-19,14,0,37,XAI attention_same SM
712,03-26-20-15,3,0,38,XAI attention_same SM
715,03-26-20-48,22,0,39,XAI attention_same SM
721,03-26-22-14,13,0,41,XAI attention_same SM
724,03-26-22-58,1,0,42,XAI attention_same SM
730,03-26-23-34,20,0,44,XAI attention_same SM
733,03-27-00-20,5,0,45,XAI attention_same SM
736,03-27-19-36,7,0,46,XAI attention_same SM
739,03-27-19-59,3,0,47,XAI attention_same SM
742,03-27-20-22,12,0,48,XAI attention_same SM
745,03-27-20-58,3,0,49,XAI attention_same SM
751,03-27-21-42,2,0,51,XAI attention_same SM
754,03-27-21-54,5,0,52,XAI attention_same SM
757,03-27-22-38,2,0,53,XAI attention_same SM
760,03-27-23-23,20,0,54,XAI attention_same SM
763,03-28-00-06,8,0,55,XAI attention_same SM
766,03-28-00-38,2,0,56,XAI attention_same SM
769,03-28-01-33,16,0,57,XAI attention_same SM
772,03-28-02-11,7,0,58,XAI attention_same SM
775,03-28-03-01,3,0,59,XAI attention_same SM
778,03-28-03-23,8,0,60,XAI attention_same SM
1,03-22-19-23,3,0,1,XAI random FSC
5,03-22-19-58,5,0,2,XAI random FSC
9,03-22-20-29,1,0,3,XAI random FSC
13,03-22-20-52,4,0,4,XAI random FSC
17,03-22-21-27,12,0,5,XAI random FSC
21,03-22-22-03,5,0,6,XAI random FSC
25,03-22-23-14,39,1,7,XAI random FSC
29,03-23-01-42,8,0,8,XAI random FSC
33,03-23-02-57,5,0,9,XAI random FSC
37,03-23-03-31,4,0,10,XAI random FSC
41,03-23-04-12,3,0,11,XAI random FSC
45,03-23-05-24,5,0,12,XAI random FSC
49,03-23-06-22,39,1,13,XAI random FSC
53,03-23-09-08,10,0,14,XAI random FSC
57,03-23-09-36,1,0,15,XAI random FSC
61,03-23-09-48,4,0,16,XAI random FSC
65,03-23-11-03,4,0,17,XAI random FSC
69,03-23-11-35,1,0,18,XAI random FSC
77,03-23-12-52,3,0,20,XAI random FSC
81,03-23-13-40,2,0,21,XAI random FSC
85,03-23-14-01,5,0,22,XAI random FSC
93,03-23-15-18,4,0,24,XAI random FSC
97,03-23-15-59,11,0,25,XAI random FSC
101,03-23-16-49,10,0,26,XAI random FSC
105,03-23-17-51,7,0,27,XAI random FSC
109,03-23-18-15,3,0,28,XAI random FSC
